index,Importance of being seen as masculine,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men have more support from their managers,None of the Above,Other
1560,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1561,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1562,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1563,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1564,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1566,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1567,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1568,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1569,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1570,2,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Other (please specify)
1571,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1572,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1573,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1575,4,Men make more money,Not selected,Not selected,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Not selected,Not selected,Other (please specify)
1577,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1578,4,Not selected,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected
1581,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1582,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1585,2,Not selected,Men are taken more seriously,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected
1586,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1587,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1589,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1592,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1594,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1595,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1597,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1598,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1599,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1600,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1601,4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1602,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1603,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1607,3,Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1608,2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
1609,1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify)
1610,1,Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,Men are explicitly praised more often,Men generally have more support from their managers,Not selected,Not selected
1611,4,Men make more money,Not selected,Men have more choice,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected
1612,3,Men make more money,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected
1613,3,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected
